"","tessera"
"1",6849
"2",7416
"3",8776
"4",9023
"5",9260
"6",9292
"7",9750
"8",10231
"9",11107
"10",11374
"11",11821
"12",11880
"13",12355
"14",13269
"15",13603
"16",14210
"17",14319
"18",14320
"19",14496
"20",14605
"21",14618
"22",14688
"23",14716
"24",14820
"25",14848
"26",15347
"27",15504
"28",15547
"29",15650
"30",16098
"31",16163
"32",16209
"33",16300
"34",16531
"35",16722
"36",16769
"37",16784
"38",16797
"39",16863
"40",16940
"41",16980
"42",17124
"43",17197
"44",17284
"45",17285
"46",17538
"47",17563
"48",17688
"49",17818
"50",17832
"51",17899
"52",17900
"53",17923
"54",18123
"55",18203
"56",18209
"57",18286
"58",18432
"59",18705
"60",19041
"61",19042
"62",19045
"63",19173
"64",19267
"65",19366
"66",19398
"67",19471
"68",19590
"69",19595
"70",19664
"71",19805
"72",19813
"73",19817
"74",19818
"75",19891
"76",19939
"77",19975
"78",19976
"79",20063
"80",20099
"81",20103
"82",20221
"83",20227
"84",20314
"85",20331
"86",20348
"87",20352
"88",20410
"89",20782
"90",20798
"91",20803
"92",20810
"93",20846
"94",20862
"95",20990
"96",20994
"97",20998
"98",20999
"99",21002
"100",21027
"101",21079
"102",21117
"103",21120
"104",21169
"105",21216
"106",21231
"107",21233
"108",21260
"109",21265
"110",21277
"111",21321
"112",21325
"113",21328
"114",21341
"115",21360
"116",21460
"117",21462
"118",21464
"119",21465
"120",21469
"121",21470
"122",21503
"123",21542
"124",21552
"125",21761
"126",21786
"127",21793
"128",21805
"129",21917
"130",21921
"131",21925
"132",21940
"133",21943
"134",21950
"135",21976
"136",22003
"137",22006
"138",22082
"139",22120
"140",22179
"141",22355
"142",22382
"143",22396
"144",22433
"145",22447
"146",22455
"147",22460
"148",22487
"149",22491
"150",22504
"151",22540
"152",22564
"153",22570
"154",22592
"155",22613
"156",22651
"157",22685
"158",22699
"159",22743
"160",22804
"161",22819
"162",22903
"163",22927
"164",23078
"165",23085
"166",23086
"167",23196
"168",23205
"169",23222
"170",23233
"171",23239
"172",23320
"173",23382
"174",23384
"175",23429
"176",23437
"177",23516
"178",23546
"179",23578
"180",23610
"181",23617
"182",23630
"183",23664
"184",23731
"185",23815
"186",23824
"187",23882
"188",23921
"189",23980
